Token contract address,Token symbol,Token name,Threshold number for GodLike,Network
0x76761e2d2cdceddf2598842a09026e78d0eb51cc,CDD,Crowdsale DAO,,
0xe474f8794c6b02032589482d9ac3c5edfdda9987,CDF,CeDeFi Token,,
0x7ebde58e8743881a966d394018461fdb788d5dce,CDOG,CornDog Token,,
0x1e56b4190a9691923995a218e17d71d25eef6598,CDP,CopernicusDaProtocol,,
0x54108e4de5eb95c83c86e9506feaae77ef1645bb,CDS,CDSTOKEN,,
0x35bccbce11a8e0dadb67b128fb33768a7cd987dd,CDT,Cobalt Deflationary Token,,
0x483aaebf6675c14b16b374d747e454791c26468f,CDZ,æ‰¯çŠŠå­,,
0xf567464fd5e4543c167ae6d3ff61a75ade0ab798,CENN,ConnectUS,,
0xbcafec2b6ab9dcad6d92fd500ecf76018c227d2d,CF,Curve Finance,,
0xd6d4d0db46b916296241a23443d384429b04db20,CFE,Capital Finance,,
0xd45ed8c0aebf63b7b003afe591f45429843cf636,CFIN,Capital Finance,,
0x386075e19eef02638aaa219be9e845b886b2b3ce,CFN,CarrierFleet Network,,
0xcf927630549f200afe1bccfe3b9891ebf07b1550,CFXQ,CFX Quantum,,
0x91bda3bdc113a86083e2e506d4d9bbd9dd2b961f,CFY,Chicken Finance,,
0xb6e6e05dd5ef37d703fd573e3b45bd20d31f085b,CGT,ChangeGame Token,,
0x196a17b539bd7f273e117e55fb1997effa024224,CHADS,chads.vc,,
0xb9fb6a762f6ccd6daca561ae3e99c3d9c9177bc7,CHAIN,ChainGames.io,,
0x1bba22bce5b3d26dc0ec64562408a6f415956724,CHART,ChartEx,,
0x9d4d6ad9575f393f01f8b981a7b13dc952ec5bd6,CHEES,CHEESE,,
0xd7c1629fc6500f40e4e4adbececfd6082f2218e7,CHEEZ,Cheese Token,,
0x66685e1f3efa9174e6b9ebdff7c2ec24844713c7,CHMR,ChainHammer,,
0x1e6daa5ccaf2ab646c6250c7cf699c29a804f620,CHOCO,Choco Rolls,,
0xb401f8f0d1af32f4e2da18fa9ee2c3e40b18b792,CHOP,Porkchop.Network,,
0x0615eb620a85926e5a5de8a40ccf78958ffadb75,CHV,Chives Finance,,
0x725d0cca511bdb5a1e946eb6c17e501a4b0865de,CHVF,ChivesFinance.org,,
0xb6b1d11edac811cae21772baeb29f54a60db6d13,CIAO,ciao.finance,,
0x728591142e5022069915cbd81f2d1518a766d3e1,CKD,CHECKED Token,,
0x3297188d61f51141015ce2110a517cbc0c296ccf,CLA,Candela Coin,,
0x5da049cbfa037f5f91f72c1692842d820052ff85,CLB,Capital Bounce,,
0x15548b677bac42e3e712bf2269cded1ee5d44d40,CLINK,ChadLink,,
0x3ac4a91b718b9845d4519936ea4db8fb2a6ec115,CLOUD,Cumulus Protocol,,
0x81049ab4a8b78896799ce0610e11f161efb24ee0,CME,Chicago Mercantile Exchange,,
0x93538472089c6f21d258bd7b584f1756a14e2c09,CMX,ChainMetrix,,
0xc5a138603c037cf52afb121339064436360f08da,CNB,chuiniubi,,
0xdcb46bdd49cf78cb88ca40f6fa4ce63884c9a34d,CNC,China Coin,,
0xc0d059b0fa2c5dd17c5641c5b3ef812f0d39a673,CNFI,CONE Finance,,
0x38048bb96e18f6f1afa3b5959cdc27d3e7e79bae,CNK,Calais Network,,
0x094f1e56939b61cf02a7dccf5f210179ecc9b8c7,CNN,Convolution Network,,
0xf1ad0a06af87b69d35ef11a295ebf8c97ef3928c,CNT,Crystal Network Token,,
0x0e5f00da8aaef196a719d045db89b5da8f371b32,CNTM,Connectome,,
0xb48cd9823fe43e19cee867c9b331376122556762,CNY,CANDY,,
0xfad036a21cc1d7f653b09f701f95bcb6e5f7dc75,COFF,Coffee,,
0x365b05f17b99559c86405bfc3297583ae971253e,COIL,COIL Spring,,
0x4b3e3b17c1c453dc30bec1532116855479e16b48,COKE,Cocaina,,
0x0caf75cadf8264b2524447a8f3b24e7bf82450fb,COLENDI,Colendi Token,,
0xb7096f353ffc826d1e65b01bcb43d55ba8aa55e7,COMP,COMP,,
0xef4b60fa013eacb34c0029b4f04dce8f46141f49,COMPF,compound.finance,,
0x6567cb8dac1f386a34e4b8302b101f1f960b2b16,COMZO,COMZO.NETWORK,,
0x8359e4f4841ca5681063b018945dbda62110415a,CONE,CONE Finance,,
0x63db4d5e1f9153da2bde2d585a0b33d59524181e,CONY,Conyo Finance,,
0x2f3e054d233c93c59140c0905227c7c607c70cbb,COOM,CoomCoin,,
0xc26acad10f9ef48d4f79ebfe6a274dbef4eb1357,coral,coral.finance,,
0x7a4803078e262c661a907908e5009db8fd3c34ca,CORN,CornSwap,,
0x74ee2f93a64c659a7147c6163cd25c72668d0e94,COW,COW.Finance,,
0xe7fb8aa6593ff2b1da6254d536b63284f16896b5,COWS,Cows Finance,,
0x2dff249961d6d9af4af5ccb579d0acabc87dae1b,COYFI,coffee.finance,,
0x547c4c2ee931cf94c84b7ed0800512d0271a7290,CPGY,COINPIGGY,,
0x9535423410fc63104cde4a1afec06e9eb87839ee,CPH,Cypherium Token,,
0xa1769bc3047fa900f42f7ec70d8a3bdeb315361d,CPI,Crypto Price Index,,
0xacb5781acb7abc943a791e44f2a7514681843371,CPP,Captain Protocol,,
0xd709b6d8cc51655a28ac99e88b328c4d678a7c6e,CPT,Charging pile,,
0x56acd2e672264f1118eae55364e31f6de080d9a8,CRAB,CrabFarm.io,,
0x449be56720ed4c3ac9310d3af4429a960b74a9a0,CREAM,Cream,,
0xa539b88cdff3095fd63f29abef9a0504bb0fdff9,CREAMy,creamy defi,,
0x5aeb5282b6f613885118577178be6051f9386654,CRED,CRED Network,,
0x2e486abff4d56d103c9fd7b38ba4a10f978e1ce5,CREDIT,CREDIT,,
0x6ba51a4317bce30a37fd2568e673d041a221547a,CREED,Creed Finance,,
0xcea81e39f33c60e55cc2dce753764a077219e990,CRF,CarrotFinance,,
0x8963cafc28d6faa6d3c5369392dc485ab92ca114,crom,chromanium,,
0xabfd235c6ff1b3e6b52e878f06130e9ac1b2ade4,CROW,CROW Finance,,
0x8ad2e4d2162b5750dd901d3fe0997fe686f6c9dd,CRT,CRATE,,
0x0f3677f68b4305b0a267f45fa0ce9ab05a00d818,CRU,Crust,,
0x5a88f81de5bd426a89be2023149b6cc5a9629030,CRUST,crust.network,,
0x07e42d9dc1471f9c3c823f1786cca07ed6180197,CRV,Curve Token,,
0x533f7bc2b88e563a95117f7288f2c3a2d5abc8ce,CRVG,Curve Gold Token,,
0x6228a288e7c46fbd8f21350ae68c25b91d1a102c,cSNX,Synthetix Network Compound DAO,,
0x7036113c9d4fee6ea11ac3be5441306ed3efe15f,cSRM,Compound Serum | projectserum.io,,
0xa93406ef1fd1b88c82eb6bea879cda17414a9e58,CSS,CryptoSlots Game,,
0xbea202a291f633c12edbbd51e04af985b2670500,CST,CoinSmart Token,,
0xd8f0d752ecf95daab93a5b2a6ab3d94ee28ceebc,CSX,CryptoSociety DAO,,
0x75dfa37dac9d323f1d1e1249f248bed52a6faba9,CTN,Cabo Token,,
0x91af1c1a3c7c97d9edff5ca5c86b3f5e689df0f1,ctt,ct,,
0x7be14a02f9953d5a37f5569113f403de4704eae4,CTY,CARTY,,
0x2e585c58f38883ae798e11ea096b8ffa6d225bb0,CUR,Curry,,
0xa466015f91f026333782668dd041c178e74ef320,CURIE,Curie Network,,
0x0668107899cc3f9038c52980f2d61ec63b3f4685,CVR,Convergence Finance,,
0x2ae05d76601ef3b5925e5a120872fcddc7be08ff,CWL,cwlfinancal.io,,
0xb9d2ca98d7d55104b1be387438f711ca7275ed47,CWV,cwv,,
0x3d43f0d6caf0731b6e51da32fa11119bcab09012,CXE,CXE.finance,,
0x13313a46a433f45549388428757dd914e88026a8,CYD,Compound Yield,,
0x380675e4d4d81c81ae3f471326f8eef2178222a9,CYF,Cross.Finance,,
0x2c85966c8382f88f9b8f6fefdc1370a6ef5a4525,CYFI,cacao.finance,,
0x00bc4bcd7308bef72d039003cb59492a20835801,DAFS,Datorium Finance Stake,,
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,DAI Token,,
0xfb98d1b428e8a68c8aaafe4c73acff60053611a0,DAMM,Damm.finance,,
0xb6193f43d6b58be286ee06772cbc4af0e54500d9,DAN,DanteOracle Network,,
0x33193c4375144525386db8decf9e7b5b1cabc55e,DANTE,Dante Network,,
0xc497186efcd4615322679c0bcf5cf6020e1e5ccf,DARB,DEXARB.com,,
